filters_cnt;tx_erro;tx_accu;predic
1;0.2366;0.9266;734;
2;0.1652;0.9542;458;
3;0.1413;0.9605;395;
4;0.1562;0.9589;411;
5;0.1012;0.9698;302;
6;0.0788;0.9757;243;
7;0.0664;0.9798;202;
8;0.0734;0.9784;216;
9;0.0663;0.9811;189;
10;0.0681;0.9801;199;
11;0.0772;0.9765;235;
12;0.0816;0.9756;244;
13;0.0672;0.9785;215;
14;0.0587;0.9826;174;
15;0.0620;0.9785;215;
16;0.0726;0.9795;205;
17;0.0761;0.9771;229;
18;0.0688;0.9808;192;
19;0.0586;0.9823;177;
20;0.0495;0.9845;155;
21;0.0602;0.9828;172;
22;0.0583;0.9820;180;
23;0.0717;0.9800;200;
24;0.0501;0.9853;147;
25;0.0509;0.9837;163;
26;0.0641;0.9799;201;
27;0.0524;0.9858;142;
28;0.0613;0.9807;193;
29;0.0745;0.9796;204;
30;0.0517;0.9847;153;
31;0.0742;0.9785;215;
32;0.0608;0.9831;169;
33;0.0535;0.9846;154;
34;0.0608;0.9815;185;
35;0.0555;0.9840;160;
36;0.0641;0.9805;195;
37;0.0514;0.9843;157;
38;0.0596;0.9816;184;
39;0.0574;0.9828;172;
40;0.0493;0.9836;164;
