next_layer_filter_prop;tx_erro;tx_accu;predic
1,0;0,0516;0,9842;158;
1,1;0,0570;0,9820;180;
1,2;0,0543;0,9843;157;
1,3;0,0629;0,9819;181;
1,4;0,0473;0,9835;165;
1,5;0,0529;0,9828;172;
1,6;0,0543;0,9827;173;
1,7;0,0605;0,9818;182;
1,8;0,0559;0,9823;177;
1,9;0,0451;0,9850;150;
2,0;0,0585;0,9827;173;
2,1;0,0563;0,9832;168;
2,2;0,0491;0,9860;140;
2,3;0,0681;0,9806;194;
2,4;0,0396;0,9869;131;
2,5;0,0690;0,9806;194;
2,6;0,0545;0,9855;145;
2,7;0,0510;0,9847;153;
2,8;0,0554;0,9846;154;
2,9;0,0739;0,9766;234;
3,0;0,0568;0,9829;171;
3,1;0,0494;0,9861;139;
3,2;0,0435;0,9865;135;
3,3;0,0510;0,9845;155;
3,4;0,0528;0,9831;169;
3,5;0,0532;0,9841;159;
3,6;0,0490;0,9844;156;
3,7;0,0564;0,9838;162;
3,8;0,0498;0,9844;156;
3,9;0,0545;0,9832;168;
4,0;0,0721;0,9769;231;
